+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                             ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[6].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[5].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[4].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[3].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[2].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[1].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst|bank_timer_info_per_chip[0].bank_timer_info_per_bank[0].bank_timer_info_inst ; 59    ; 13             ; 13           ; 13             ; 17     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst|bank_timer_inst                                                                              ; 397   ; 6              ; 316          ; 6              ; 39     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|bank_timer_wrapper_inst                                                                                              ; 297   ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|avalon_if_inst                                                                                         ; 108   ; 0              ; 4            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|cmd_queue_inst                                                                                         ; 36    ; 84             ; 0            ; 84             ; 184    ; 84              ; 84            ; 84              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|cmd_gen_inst                                                                                           ; 51    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo|wr_ptr                                                ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo|usedw_counter                                         ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo|rd_ptr_msb                                            ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo|two_comparison                                        ; 16    ; 8              ; 0            ; 8              ; 1      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo|almost_full_comparer                                  ; 16    ; 8              ; 0            ; 8              ; 1      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo|FIFOram                                               ; 56    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated|dpfifo                                                       ; 41    ; 0              ; 0            ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst|wdata_fifo|auto_generated                                                              ; 41    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst|wdata_fifo_inst                                                                                        ; 40    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|input_if_inst                                                                                                        ; 131   ; 1              ; 1            ; 1              ; 268    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|clock_and_reset_inst|half_reset_sync_inst                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|clock_and_reset_inst|reset_sync_inst                                                                                 ; 2     ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst|clock_and_reset_inst                                                                                                 ; 4     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst|alt_ddrx_controller_inst                                                                                                                      ; 171   ; 112            ; 0            ; 112            ; 256    ; 112             ; 112           ; 112             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_alt_ddrx_controller_wrapper_inst                                                                                                                                               ; 171   ; 55             ; 0            ; 55             ; 144    ; 55              ; 55            ; 55              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram|ram_controller_phy_inst                                                                                                                                                                                    ; 170   ; 100            ; 0            ; 100            ; 66     ; 100             ; 100           ; 100             ; 20    ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram                                                                                                                                                                                                            ; 70    ; 0              ; 0            ; 0              ; 66     ; 0               ; 0             ; 0               ; 20    ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|Medipix_sopc_reset_clk_125_domain_synch                                                                                                                                                                            ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram_s1|rdv_fifo_for_clock_crossing_m1_to_ram_s1                                                                                                                                                                ; 7     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_ram_s1                                                                                                                                                                                                         ; 103   ; 3              ; 2            ; 3              ; 107    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                                                                        ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                                                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram1                                                                                                                           ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                                                                       ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                                        ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                                                                    ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                                                               ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                                                                                      ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_r                                                                                                                                                                           ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                                                                        ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                                                  ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram1                                                                                                                           ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                                                                       ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                                        ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                                                                    ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                                                               ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                                                                                      ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0|the_jtag_uart_0_scfifo_w                                                                                                                                                                           ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0                                                                                                                                                                                                    ; 38    ; 10             ; 23           ; 10             ; 36     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_jtag_uart_0_avalon_jtag_slave                                                                                                                                                                                  ; 84    ; 0              ; 10           ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|macstatus1                                                                                                                                                                                   ; 94    ; 0              ; 2            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|tx_start_dc_reg                                                                                                                                               ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|stat_ack_dc_reg                                                                                                                                               ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|stat_ready_dc_reg                                                                                                                                             ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrfull_eq_comp_msb_mux                                                                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrfull_eq_comp_lsb_mux                                                                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdemp_eq_comp_msb_mux                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdemp_eq_comp_lsb_mux                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrfull_eq_comp_msb                                                                                                  ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrfull_eq_comp_lsb                                                                                                  ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrfull_eq_comp1_msb                                                                                                 ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrfull_eq_comp1_lsb                                                                                                 ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdempty_eq_comp_msb                                                                                                 ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdempty_eq_comp_lsb                                                                                                 ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdempty_eq_comp1_msb                                                                                                ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdempty_eq_comp1_lsb                                                                                                ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|ws_dgrp|dffpipe10                                                                                                   ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|ws_dgrp                                                                                                             ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|ws_bwp                                                                                                              ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|ws_brp                                                                                                              ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rs_dgwp|dffpipe7                                                                                                    ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rs_dgwp                                                                                                             ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rs_bwp                                                                                                              ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rs_brp                                                                                                              ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|fifo_ram                                                                                                            ; 51    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrptr_gp                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrptr_g1p                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdptr_g1p                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|ws_dgrp_gray2bin                                                                                                    ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|wrptr_g_gray2bin                                                                                                    ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rs_dgwp_gray2bin                                                                                                    ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated|rdptr_g_gray2bin                                                                                                    ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo|dcfifo_component|auto_generated                                                                                                                     ; 41    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst|data_fifo                                                                                                                                                     ; 41    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_txdma_inst                                                                                                                                                               ; 122   ; 1              ; 9            ; 1              ; 90     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_rxdma_inst|rx_busy_dc_reg                                                                                                                                                ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_rxdma_inst|eth_rxdma_errfifo|dcfifo_component|auto_generated|wrfull_eq_comp_msb_mux                                                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_Medipix_sopc|the_igor_mac|igor_mac|eth_avalon_inst|eth_rxdma_inst|eth_rxdma_errfifo|dcfifo_component|auto_generated|wrfull_eq_comp_lsb_mux                                                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
